countrycode,civguns,esttype
AFG,4.27e6,2
ALB,350000.0,2
DZA,877000.0,2
ASM,400.0,2
AND,10000.0,3
AGO,2.982e6,2
ATG,5000.0,2
ARG,3.256e6,2
ARM,186000.0,3
ABW,3000.0,3
AUS,3.573e6,2
AUT,2.577e6,1
AZE,362000.0,2
BHS,74000.0,2
BHR,181000.0,3
BGD,659000.0,2
BRB,10000.0,3
BLR,581000.0,3
BEL,1.451e6,1
BLZ,37000.0,2
BEN,33000.0,2
BMU,3000.0,3
BTN,6000.0,3
BOL,218000.0,3
BIH,1.185e6,2
BWA,97000.0,2
BRA,1.751e7,2
BRN,6000.0,2
BGR,590000.0,1
BFA,175000.0,2
BDI,238000.0,2
CPV,31000.0,2
KHM,717000.0,2
CMR,510000.0,2
CAN,1.2708e7,2
CYM,6000.0,3
CAF,94000.0,2
TCD,151000.0,2
CIS,23000.0,2
CHL,2.22e6,2
CHN,4.9735e7,2
MAC,22000.0,3
CXR,0.0,0
COL,4.971e6,2
COM,12000.0,2
COG,119000.0,2
CRI,493000.0,2
CIV,1.049e6,3
HRV,576000.0,2
CUB,234000.0,2
CUW,4000.0,3
NCY,61000.0,2
CYP,285000.0,2
CZE,1.323e6,2
COD,946000.0,2
DNK,567000.0,1
DJI,28000.0,2
DMA,5000.0,3
DOM,795000.0,2
ECU,402000.0,2
EGY,3.931e6,2
SLV,737000.0,2
ENG,2.731e6,1
GNQ,112000.0,2
ERI,23000.0,2
EST,65000.0,1
ETH,377000.0,2
FLK,2000.0,2
FRO,5000.0,3
FJI,5000.0,2
FIN,1.793e6,1
FRA,1.2732e7,1
GUF,55000.0,3
PYF,7000.0,2
GAB,61000.0,2
GMB,137000.0,2
GEO,402000.0,2
DEU,1.5822e7,1
GHA,2.28e6,2
GIB,1000.0,1
GRC,1.92e6,1
GRL,13000.0,3
GRD,5000.0,3
GLP,40000.0,2
GUM,20000.0,3
GTM,2.062e6,2
GIN,130000.0,2
GNB,29000.0,2
GUY,122000.0,2
HTI,291000.0,2
VAT,0.0,0
HND,1.171e6,2
HKG,265000.0,3
HUN,1.023e6,1
ISL,106000.0,2
IND,7.1101e7,2
IDN,82000.0,2
IRN,5.89e6,2
IRQ,7.588e6,2
IRL,342000.0,2
ISR,557000.0,2
ITA,8.609e6,1
JAM,246000.0,2
JPN,377000.0,2
JOR,1.473e6,2
KAZ,504000.0,2
KEN,750000.0,2
KIR,900.0,2
PRK,76000.0,3
KOR,79000.0,2
XKS,436000.0,2
KWT,685000.0,3
KGZ,171000.0,3
LAO,215000.0,3
LVA,205000.0,2
LBN,1.927e6,2
LSO,105000.0,3
LBR,97000.0,2
LBY,851000.0,2
LIE,11000.0,3
LTU,385000.0,2
LUX,110000.0,1
MKD,621000.0,2
MDG,168000.0,2
MWI,47000.0,2
MYS,217000.0,2
MDV,23000.0,2
MLI,206000.0,2
MLT,119000.0,2
MHL,300.0,2
MTQ,34000.0,3
MRT,120000.0,2
MUS,106000.0,2
MEX,1.6809e7,2
FSM,700.0,2
MDA,121000.0,2
MCO,7000.0,3
MNG,242000.0,3
MNE,245000.0,3
MSR,300.0,3
MAR,1.69e6,2
MOZ,1.337e6,2
MMR,877000.0,3
NAM,396000.0,2
NRU,0.0,0
NPL,444000.0,2
NLD,442000.0,1
NCL,115000.0,2
NZL,1.212e6,2
NIC,323000.0,2
NER,117000.0,2
NGA,6.154e6,2
NIR,206000.0,1
MNP,1000.0,2
NOR,1.537e6,2
OMN,792000.0,3
PAK,4.3917e7,2
PLW,100.0,2
PSE,56000.0,2
PAN,436000.0,2
PNG,79000.0,2
PRY,1.14e6,2
PER,633000.0,2
PHL,3.776e6,2
POL,968000.0,1
PRT,2.186e6,1
PRI,422000.0,2
PNT,246000.0,2
QAT,390000.0,3
REU,171000.0,3
ROU,506000.0,2
RUS,1.762e7,2
RWA,66000.0,2
KNA,2000.0,3
LCA,6000.0,3
MAF,3000.0,3
VCT,4000.0,3
WSM,20000.0,2
SMR,5000.0,3
STP,7000.0,3
SAU,5.468e6,3
SCO,305000.0,1
SEN,323000.0,2
SRB,2.719e6,2
SYC,4000.0,2
SLE,35000.0,2
SGP,20000.0,3
SXM,2000.0,3
SVK,355000.0,2
SVN,324000.0,1
SLB,1000.0,2
SOM,1.145e6,2
SLD,456000.0,2
ZAF,5.351e6,2
SSD,1.255e6,2
ESP,3.464e6,1
LKA,494000.0,2
SDN,2.768e6,2
SUR,88000.0,2
SWZ,64000.0,3
SWE,2.296e6,1
CHE,2.332e6,2
SYR,1.547e6,2
TWN,10000.0,2
TJK,37000.0,2
TZA,427000.0,2
THA,1.0342e7,2
TLS,3000.0,2
TGO,58000.0,2
TON,9000.0,2
TTO,43000.0,2
TUN,123000.0,3
TUR,1.3249e7,2
TKM,23000.0,3
TCA,1000.0,2
TUV,100.0,2
UGA,331000.0,2
UKR,4.396e6,2
ARE,1.569e6,3
USA,3.93347e8,1
URY,1.198e6,2
UZB,127000.0,3
VUT,11000.0,2
VEN,5.895e6,2
VNM,1.562e6,2
VGB,300.0,2
VIR,18000.0,2
YEM,1.4859e7,2
ZMB,158000.0,2
ZWE,455000.0,2
